car_age,km_driven,months_since_service,service_required
5,9853,14,1
10,125900,13,1
7,64129,1,1
15,119130,8,1
14,148184,12,1
7,126789,19,1
11,43890,12,1
9,71017,8,1
15,137596,8,1
15,105424,21,1
10,20048,13,1
10,59912,12,1
12,39008,16,1
13,136132,1,1
3,88559,13,1
15,60337,7,1
7,115616,5,1
1,18350,8,0
4,29354,14,1
13,50186,23,1
4,33145,13,1
14,91123,15,1
5,25581,23,1
7,93929,17,1
7,28051,15,1
13,56474,20,1
15,96748,18,1
11,130995,18,1
13,74626,2,1
4,11960,4,0
13,41408,1,1
7,99006,4,1
11,62134,18,1
3,137413,5,1
6,95327,19,1
12,136410,15,1
2,148326,8,1
10,16344,20,1
13,137822,17,1
14,72957,1,1
9,110423,12,1
5,63053,19,1
6,82454,15,1
12,95600,9,1
12,127732,7,1
12,42641,2,1
12,34711,9,1
4,75342,10,1
14,111896,2,1
14,148254,19,1
11,92833,11,1
10,61276,13,1
7,24541,10,1
12,99457,14,1
9,49813,18,1
7,144892,19,1
14,29070,22,1
1,147194,9,1
1,85559,7,1
9,46786,3,1
11,142809,20,1
14,41062,6,1
9,56571,21,1
4,30510,2,0
13,24426,6,1
9,42265,3,1
3,71150,16,1
7,92312,8,1
6,94613,2,1
8,79910,17,1
11,57375,9,1
9,126826,12,1
14,40435,3,1
5,101443,11,1
1,139055,1,1
3,28510,23,1
10,99071,13,1
12,11640,15,1
8,49547,5,1
15,59620,21,1
11,120608,17,1
6,12564,23,1
8,118824,24,1
9,84273,6,1
4,79859,21,1
1,115017,22,1
14,128618,11,1
1,130341,18,1
10,34430,4,1
4,32788,3,0
12,149991,13,1
14,74346,23,1
7,101122,9,1
2,44974,21,1
3,112309,6,1
1,21371,12,1
5,50084,2,0
1,66916,3,0
8,78972,3,1
1,17984,12,1
11,38039,15,1
1,90431,9,1
2,88691,23,1
2,63606,8,0
12,146688,11,1
6,107665,16,1
7,110373,22,1
5,29574,4,0
1,139502,1,1
1,148748,24,1
3,146888,7,1
14,37733,2,1
2,7050,24,1
5,114996,5,1
12,38933,7,1
10,29951,4,1
6,37413,5,0
7,117573,24,1
4,140566,1,1
7,127744,1,1
11,94431,15,1
8,48001,20,1
11,72364,19,1
1,129988,10,1
15,50028,18,1
6,136878,3,1
8,129343,11,1
5,133301,15,1
4,131295,11,1
2,39636,17,1
6,29262,17,1
6,85435,6,1
11,133583,5,1
15,46844,8,1
1,69754,2,0
9,82129,16,1
12,45042,20,1
11,66665,24,1
6,121953,12,1
13,123533,6,1
3,78781,1,1
4,71262,4,1
12,51600,17,1
11,81898,13,1
4,35448,18,1
3,31172,5,0
10,12657,24,1
3,117855,24,1
15,12906,3,1
3,66413,11,1
4,59028,13,1
7,12287,4,1
4,38660,14,1
9,65504,22,1
1,107979,11,1
8,39701,10,1
7,88300,19,1
2,88560,18,1
8,48642,6,1
1,70160,15,1
11,22602,21,1
12,108320,10,1
9,93801,5,1
9,30931,5,1
2,99377,10,1
7,34192,5,1
15,51542,3,1
14,132015,23,1
10,47520,6,1
3,69772,4,0
7,55106,18,1
12,86121,9,1
10,30559,17,1
9,110595,13,1
4,38742,15,1
12,74669,20,1
1,140044,17,1
2,75831,13,1
1,117217,16,1
14,46873,22,1
12,111532,4,1
5,131267,5,1
5,145975,5,1
11,139092,9,1
7,46755,17,1
9,90956,13,1
9,91988,2,1
3,50648,13,1
3,130991,22,1
3,145588,21,1
4,120005,23,1
8,7396,19,1
6,89082,3,1
8,133322,10,1
1,137663,2,1
8,16303,13,1
4,76719,19,1
11,104616,17,1
1,129165,21,1
8,91231,14,1
4,12314,12,1
6,24623,21,1
8,110228,12,1
4,102624,11,1
14,116785,7,1
3,91206,4,1
14,74274,19,1
9,138541,1,1
3,58947,24,1
9,53874,3,1
13,54708,13,1
2,79553,15,1
14,73344,2,1
2,54138,11,1
2,52638,4,0
6,83249,19,1
3,110865,17,1
13,7719,3,1
9,47534,18,1
4,97241,8,1
1,131209,22,1
4,97124,24,1
1,96659,19,1
14,80713,5,1
5,80418,7,1
4,133232,21,1
8,149059,8,1
8,36575,5,1
7,68852,17,1
3,137079,5,1
1,81242,4,1
1,34257,22,1
12,149353,19,1
11,66246,21,1
3,6435,2,0
6,96357,11,1
7,141156,22,1
6,149579,13,1
14,88807,15,1
14,120953,12,1
6,143563,22,1
6,128797,21,1
13,68888,22,1
3,78609,11,1
6,14077,7,0
8,25953,5,1
11,119682,17,1
11,72889,24,1
2,120374,20,1
5,29860,9,0
14,82475,14,1
1,92266,12,1
12,105732,6,1
15,32083,17,1
1,62372,19,1
5,128786,19,1
12,12813,16,1
13,36598,12,1
3,98106,12,1
4,32082,20,1
3,34241,6,0
1,16745,23,1
1,31029,4,0
12,149097,6,1
12,128395,11,1
14,94186,1,1
13,142612,24,1
14,102768,23,1
5,46846,15,1
6,80932,11,1
3,28411,19,1
12,83797,18,1
9,57307,17,1
5,139165,19,1
8,27042,21,1
13,57930,14,1
1,102883,18,1
14,38756,19,1
5,58268,15,1
15,53901,15,1
3,104986,4,1
12,133386,7,1
1,10626,13,1
4,143496,3,1
15,17857,16,1
13,138052,9,1
5,31431,8,0
7,89976,20,1
1,87711,13,1
3,31385,17,1
2,23639,17,1
9,90530,17,1
10,26563,1,1
15,120672,8,1
6,141848,19,1
10,144783,6,1
3,87970,3,1
8,90553,5,1
14,87879,13,1
8,141727,15,1
2,49859,14,1
15,57098,23,1
6,127413,16,1
7,5526,18,1
2,73760,22,1
15,52837,22,1
11,16536,11,1
10,33541,3,1
2,84083,22,1
10,39531,10,1
1,13712,10,1
8,109101,21,1
1,70455,16,1
9,79744,12,1
11,134749,2,1
6,10109,9,0
7,54268,24,1
13,59615,3,1
10,87503,24,1
7,90708,15,1
10,107471,3,1
3,88309,19,1
2,131446,18,1
9,111661,8,1
8,11154,17,1
13,69288,8,1
12,56195,7,1
10,25581,7,1
7,35087,3,1
9,74298,1,1
4,51167,4,0
13,44499,5,1
4,130816,1,1
1,101347,15,1
8,53787,5,1
14,40488,13,1
14,79441,8,1
12,27431,8,1
3,66681,5,0
7,127720,9,1
15,54153,1,1
12,11368,4,1
2,117360,3,1
2,117755,2,1
7,61985,8,1
15,55069,23,1
6,57326,9,0
3,113737,2,1
9,55861,14,1
10,80897,14,1
15,132118,4,1
14,73577,6,1
13,14078,11,1
6,67768,3,0
10,56047,8,1
10,76626,3,1
6,62660,14,1
1,137997,13,1
4,122832,13,1
10,135406,2,1
6,130150,13,1
15,38320,19,1
6,69881,6,0
11,95827,16,1
12,107215,2,1
5,139461,8,1
1,149701,17,1
8,66550,23,1
5,29826,2,0
12,105734,10,1
12,103511,16,1
12,16653,6,1
5,86941,2,1
7,38662,2,1
4,103818,13,1
6,100081,24,1
13,41877,15,1
4,116562,2,1
14,77715,7,1
15,146398,3,1
3,115091,8,1
7,137632,23,1
8,84148,14,1
4,88186,24,1
13,128629,23,1
2,75316,22,1
12,33380,7,1
10,115198,21,1
14,7356,7,1
3,75326,1,1
1,97447,17,1
8,119994,9,1
15,25049,21,1
3,110361,13,1
12,21082,21,1
10,5661,19,1
7,7920,21,1
10,84561,19,1
5,13946,22,1
10,21309,17,1
5,60230,23,1
14,116822,23,1
7,117340,10,1
15,64321,10,1
9,137028,4,1
12,79131,8,1
5,30963,22,1
1,106757,20,1
10,104259,20,1
10,44063,18,1
1,119225,14,1
15,121400,18,1
2,85818,14,1
14,9703,20,1
6,77099,21,1
9,36585,24,1
8,48585,15,1
13,31958,22,1
5,31017,4,0
1,129677,13,1
13,148273,23,1
7,34426,8,1
15,22778,18,1
5,47229,12,1
6,91652,23,1
13,133267,14,1
7,131503,2,1
3,89878,18,1
12,62056,24,1
10,24975,2,1
3,147633,11,1
5,93397,9,1
6,38142,12,1
9,31916,17,1
13,69324,15,1
14,130932,17,1
12,140720,18,1
5,101059,22,1
15,103317,6,1
1,40046,17,1
14,106459,23,1
14,50893,24,1
14,106520,18,1
4,130818,8,1
5,66272,9,0
12,72649,6,1
10,69674,5,1
10,149832,12,1
5,91475,11,1
7,66367,1,1
4,148660,11,1
1,126750,19,1
14,123154,9,1
14,49738,2,1
5,38397,12,1
7,87189,4,1
10,81367,4,1
10,125585,18,1
6,81619,15,1
5,116453,19,1
4,24816,13,1
2,142348,19,1
4,84530,17,1
15,113856,6,1
10,76635,16,1
10,112803,24,1
3,40946,12,1
10,60204,19,1
1,20563,5,0
8,97324,17,1
5,14847,23,1
13,31155,1,1
4,84671,24,1
8,121891,23,1
7,88310,10,1
2,136691,15,1
1,39707,23,1
12,86537,21,1
11,96155,21,1
4,5281,11,1
8,137130,13,1
12,81260,5,1
2,145272,1,1
3,69178,24,1
12,38997,12,1
1,124273,11,1
1,137311,17,1
13,131945,4,1
3,50272,15,1
11,94393,9,1
5,66212,21,1
12,125030,20,1
3,61503,19,1
1,142710,19,1
1,11570,12,1
8,73785,5,1
10,14110,10,1
11,84141,17,1
12,17115,5,1
13,44062,22,1
13,27911,16,1
12,109061,7,1
15,37556,9,1
14,133335,3,1
2,6969,15,1
13,48753,16,1
3,140542,18,1
2,126863,14,1
3,15225,3,0
7,128008,12,1
1,110823,9,1
10,18669,7,1
8,129398,9,1
13,115677,13,1
10,53320,18,1
10,130354,5,1
10,93009,13,1
14,33625,4,1
2,29089,2,0
3,41487,16,1
9,115448,9,1
7,55138,9,1
4,59061,6,0
10,106376,11,1
5,84134,22,1
2,52055,24,1
13,24508,22,1
11,115169,1,1
13,13125,4,1
8,41059,13,1
4,108409,23,1
9,10704,13,1
5,116279,13,1
13,123516,2,1
9,119044,9,1
4,34165,24,1
10,72203,8,1
5,9114,7,0
9,41321,4,1
8,78297,18,1
3,101652,3,1
1,104304,6,1
3,22772,12,1
4,108754,12,1
2,8712,21,1
1,137439,8,1
7,120142,22,1
8,96736,22,1
7,56924,1,1
14,8726,4,1
5,94152,21,1
12,32723,11,1
1,131969,3,1
7,105494,13,1
13,145180,17,1
7,40643,22,1
9,108896,22,1
3,144999,10,1
9,98680,21,1
14,101546,12,1
1,84973,15,1
1,68449,21,1
14,114834,10,1
4,30537,14,1
9,82576,13,1
6,112522,5,1
13,27612,6,1
11,11471,24,1
3,36348,2,0
1,6177,22,1
4,140832,17,1
12,37779,4,1
13,26636,14,1
9,86889,10,1
3,58551,3,0
12,147628,3,1
9,147635,15,1
7,51819,6,1
12,78770,17,1
14,83714,12,1
15,29596,22,1
4,69106,20,1
3,64182,24,1
10,92163,11,1
15,44310,4,1
5,61088,6,0
5,133803,1,1
3,144978,20,1
12,41914,23,1
9,115350,16,1
4,50379,15,1
11,51413,17,1
5,142084,8,1
4,12151,12,1
5,62716,22,1
7,98747,21,1
9,149539,10,1
7,126999,15,1
13,119793,9,1
5,113177,2,1
10,17289,5,1
10,91365,6,1
7,119014,7,1
14,77588,21,1
15,68646,1,1
10,8654,23,1
5,23743,7,0
3,53368,20,1
7,142513,12,1
13,124735,16,1
11,124891,16,1
11,112971,11,1
2,17149,21,1
15,105102,4,1
12,64189,13,1
9,76031,7,1
10,47668,4,1
10,149745,15,1
12,93204,19,1
1,145507,9,1
13,42384,11,1
6,86929,8,1
7,132959,1,1
14,81153,23,1
13,80388,24,1
8,36401,8,1
10,124503,13,1
9,132834,22,1
2,39084,4,0
11,115641,8,1
10,110111,3,1
2,143299,9,1
5,41041,2,0
13,93920,2,1
5,70681,13,1
6,86571,15,1
3,132556,23,1
8,31160,12,1
13,22633,4,1
1,22014,8,0
6,85532,9,1
4,54104,23,1
1,82231,5,1
15,73388,24,1
7,21014,20,1
9,97578,18,1
13,45390,11,1
4,28711,15,1
4,96658,22,1
6,62993,9,0
12,12421,17,1
15,22727,12,1
3,117418,7,1
13,9358,10,1
12,70108,10,1
6,99018,13,1
7,129457,19,1
11,36910,11,1
10,131888,13,1
10,60754,21,1
3,114847,8,1
7,43467,8,1
14,38893,4,1
3,81329,15,1
13,36007,11,1
13,59253,11,1
2,17323,1,0
12,116335,17,1
14,117356,15,1
10,115944,20,1
4,21456,6,0
12,36367,24,1
8,59624,22,1
13,146178,15,1
15,73008,9,1
9,130926,14,1
7,120395,18,1
1,121492,17,1
3,77240,18,1
13,69315,5,1
12,15756,20,1
14,41378,20,1
9,140327,9,1
15,130703,11,1
12,61549,24,1
1,78794,22,1
9,50113,1,1
8,79069,18,1
1,141321,6,1
6,130541,2,1
5,14686,15,1
6,58363,21,1
10,102543,14,1
12,136733,5,1
13,100673,6,1
13,47828,6,1
13,53604,22,1
15,15526,18,1
5,73910,14,1
6,30592,10,1
5,33982,14,1
11,5207,13,1
12,93733,3,1
5,129982,6,1
4,73619,8,1
3,51479,12,1
3,146826,13,1
4,86437,11,1
9,103540,12,1
2,77982,1,1
15,107747,17,1
9,53231,16,1
1,34301,11,1
14,23752,13,1
15,103452,18,1
15,149467,11,1
1,126237,12,1
5,61273,6,0
6,96878,9,1
6,9895,16,1
3,124968,4,1
7,120700,3,1
9,81559,16,1
11,15699,24,1
12,14715,12,1
10,24169,11,1
8,123413,5,1
6,124264,18,1
12,10782,19,1
8,129481,23,1
12,40585,23,1
5,35682,6,0
8,134992,22,1
10,89416,18,1
12,132810,6,1
4,43067,4,0
10,23073,12,1
8,41035,19,1
10,95373,2,1
12,88362,17,1
2,95517,11,1
12,70450,11,1
12,15382,21,1
5,140509,16,1
9,66929,2,1
4,103864,2,1
11,148401,23,1
6,30169,8,0
15,92468,13,1
1,39594,10,1
9,50033,8,1
1,68133,4,0
5,78861,15,1
4,36750,1,0
13,45461,11,1
12,83222,7,1
13,117020,17,1
13,29226,20,1
14,11721,24,1
3,25609,18,1
13,135513,22,1
6,109211,22,1
2,141728,12,1
3,129865,9,1
5,79520,5,1
15,69309,10,1
9,34984,4,1
2,123947,5,1
10,10901,10,1
8,36055,11,1
14,119099,21,1
2,16138,24,1
11,28429,10,1
13,55200,8,1
5,106268,2,1
7,22347,23,1
8,36822,8,1
1,45108,16,1
6,133955,22,1
1,12967,5,0
2,115719,3,1
15,16871,12,1
1,33179,13,1
11,60099,13,1
5,40262,10,1
10,83213,4,1
15,122407,9,1
9,91269,22,1
6,65545,24,1
11,44922,23,1
11,47913,2,1
1,102033,19,1
13,109792,1,1
1,124863,7,1
2,49936,17,1
9,33141,3,1
3,145146,20,1
15,142478,20,1
1,102359,21,1
5,128279,3,1
7,46568,3,1
6,102539,17,1
12,51851,7,1
1,59823,14,1
5,28312,17,1
15,103723,18,1
5,17411,13,1
6,62009,20,1
3,37371,20,1
5,62022,21,1
7,76229,18,1
5,104071,4,1
5,101774,1,1
5,31715,18,1
10,32605,1,1
10,104853,13,1
3,36174,20,1
1,146028,20,1
5,81373,23,1
14,74252,10,1
9,75017,11,1
14,68037,9,1
1,94818,9,1
3,11548,5,0
13,121981,1,1
13,29022,17,1
4,111297,22,1
14,141614,2,1
1,65428,24,1
1,64353,13,1
8,118132,9,1
2,21052,4,0
12,105689,5,1
15,136743,11,1
8,5163,24,1
7,46424,19,1
10,146706,21,1
10,140870,3,1
2,27420,12,1
6,125575,19,1
6,34300,19,1
3,94881,13,1
11,15749,7,1
2,109131,15,1
12,133563,23,1
1,42487,7,0
6,26223,8,0
12,77930,5,1
5,33380,21,1
14,31035,14,1
14,35620,4,1
11,122360,23,1
9,58352,10,1
1,8191,20,1
15,95536,15,1
15,109576,18,1
7,8631,20,1
15,142244,13,1
5,47080,8,0
5,95353,9,1
14,33671,16,1
2,127811,19,1
11,132734,16,1
3,56399,7,0
7,12099,14,1
6,61492,14,1
12,101722,4,1
2,35111,15,1
6,68936,3,0
2,65920,5,0
2,68530,1,0
2,12788,3,0
14,33082,15,1
15,128287,24,1
11,94570,8,1
3,106015,4,1
15,88588,2,1
2,93340,24,1
4,99439,24,1
9,146214,10,1
6,120053,4,1
1,53355,3,0
8,145938,2,1
15,130426,17,1
12,69027,23,1
14,97601,21,1
7,34956,24,1
10,109797,20,1
3,129917,23,1
1,131303,13,1
5,141511,5,1
13,47533,21,1
4,83815,9,1
10,44279,22,1
8,114787,6,1
1,66063,5,0
10,132896,10,1
1,102661,8,1
12,143051,7,1
4,128257,7,1
8,91205,6,1
5,11910,21,1
2,51857,20,1
6,39964,3,0
5,142050,19,1
2,22153,22,1
13,64765,15,1
14,113212,4,1
11,44071,12,1
11,117990,6,1
11,74519,19,1
3,14503,4,0
15,100457,15,1
9,50838,9,1
7,130200,5,1
7,94489,13,1
15,31806,23,1
11,75119,18,1
6,43714,5,0
8,60419,16,1
4,110432,19,1
8,97949,14,1
4,138533,16,1
8,81971,15,1
9,98471,22,1
3,69946,4,0
3,103989,7,1
11,89080,16,1
13,82794,24,1
2,35841,22,1
13,129447,21,1
10,125029,22,1
3,81272,21,1
3,42643,8,0
5,48950,17,1
5,105500,16,1
2,130588,23,1
12,20997,10,1
10,84751,10,1
13,103605,2,1
6,60533,9,0
5,87566,17,1
6,113255,11,1
1,63005,10,1
5,48541,22,1
9,28387,17,1
12,98980,4,1
10,90457,16,1
14,149129,20,1
2,69028,15,1
1,124246,21,1
14,60731,5,1
10,49638,6,1
13,25567,17,1
11,62804,1,1
9,113821,19,1
10,8754,4,1
9,32044,17,1
15,72260,9,1
9,71912,24,1
6,13706,2,0
15,13894,8,1
8,88986,15,1
14,86942,7,1
11,34725,6,1
15,141998,1,1
13,109555,15,1
1,14496,23,1
10,61447,7,1
4,106604,17,1
1,93199,2,1
8,46321,9,1
1,60147,9,0
3,96396,13,1
13,43787,6,1
4,26727,6,0
15,100081,20,1
15,127721,20,1
15,73056,21,1
8,139153,3,1
6,85102,17,1
14,81865,17,1
10,72695,12,1
12,122235,16,1
7,113777,15,1
14,24033,13,1
8,146877,23,1
2,31832,1,0
13,120725,17,1
10,24873,3,1
14,45372,15,1
11,94464,4,1
8,122322,4,1
3,105082,18,1
7,10110,17,1
3,17087,19,1
15,87617,11,1
7,105483,20,1
14,14596,3,1
11,112539,8,1
15,23313,14,1
12,118175,1,1
13,119914,14,1
2,28705,2,0
10,78445,23,1
6,108892,4,1
3,7023,24,1
3,124654,19,1
15,85073,6,1
9,97197,1,1
7,69429,17,1
5,109195,8,1
12,38848,19,1
10,32766,21,1
7,73099,1,1
9,74122,5,1
1,53868,16,1
7,124119,6,1
6,100286,8,1
10,11643,13,1
14,41727,16,1
12,147077,3,1
9,114079,19,1
1,70697,12,1
13,21029,16,1
4,114458,11,1
9,115384,10,1
4,73926,20,1
10,142069,4,1
3,60506,12,1
9,83229,23,1
13,47092,2,1
2,67539,24,1
15,18428,22,1
4,146330,19,1
15,62775,5,1
6,10469,8,0
2,33854,7,0
15,142328,14,1
8,81256,24,1
8,104134,23,1
1,137723,3,1
12,89730,18,1
3,32386,16,1
10,38787,23,1
9,26621,19,1
5,82984,19,1
6,39051,18,1
4,54811,20,1
10,35447,16,1
2,133046,8,1
11,89045,1,1
8,121859,17,1
11,8471,12,1
13,125312,21,1
6,144401,11,1
5,51850,5,0
9,59220,12,1
1,98808,17,1
5,142469,6,1
6,58072,1,0
5,88820,5,1
6,28284,14,1
6,88369,5,1
7,30122,22,1
4,135349,24,1
14,75553,1,1
11,99788,18,1
14,67812,16,1
14,12999,9,1
14,27436,19,1
15,47963,22,1
8,138168,5,1
7,113899,2,1
9,31201,15,1
7,10105,7,1
3,122666,4,1
3,99848,1,1
15,7839,13,1
8,73920,20,1
5,48619,22,1
4,47821,7,0
8,130736,15,1
15,149565,23,1
6,22069,14,1
2,12531,23,1
4,143808,19,1
12,143782,22,1
11,72155,24,1
4,67424,20,1
15,50603,24,1
6,137503,18,1
6,97573,10,1
1,145629,9,1
14,108302,8,1
8,136234,10,1
6,24675,17,1
3,78997,2,1
14,145905,6,1
9,12896,5,1
2,54733,9,0
15,46800,5,1
11,101044,18,1
8,10347,20,1
10,138715,9,1
3,45785,17,1
13,23681,17,1
12,108864,12,1
5,52299,7,0
6,22073,3,0
10,107304,10,1
6,35682,2,0
4,129302,3,1
3,120359,16,1
4,143999,2,1
1,71707,24,1
4,70428,10,1
1,55601,6,0
12,138611,22,1
15,116487,11,1
1,33228,23,1
10,127788,7,1
14,102239,15,1
6,31928,6,0
5,23322,20,1
14,92896,9,1
11,67292,22,1
15,34055,20,1
4,47891,12,1
13,86912,19,1
11,142660,20,1
3,95536,3,1
1,11304,15,1
6,12345,2,0
2,96006,21,1
8,134350,2,1
10,24446,22,1
5,7336,3,0
7,67032,6,1
10,102852,15,1
12,143593,10,1
2,23474,9,0
13,60718,1,1
8,49629,16,1
2,50232,6,0
4,91544,9,1
1,55669,4,0
15,74184,2,1
5,18140,4,0
9,131468,1,1
1,88457,19,1
9,19357,10,1
11,116672,21,1
15,73673,15,1
8,126673,22,1
6,70633,19,1
7,101111,16,1
3,83258,21,1
14,148996,24,1
15,74286,22,1
1,98269,4,1
5,79071,2,1
14,35651,13,1
12,75202,1,1
12,53777,17,1
2,72263,13,1
14,105158,4,1
5,15800,7,0
8,42823,17,1
11,68878,9,1
9,23708,4,1
2,148891,19,1
12,68870,1,1
3,14283,10,1
3,83707,4,1
1,10774,9,0
8,147055,13,1
6,101468,14,1
12,101334,10,1
13,23133,6,1
8,5781,16,1
11,119586,6,1
9,32624,17,1
5,11823,10,1
14,23489,18,1
12,34118,22,1
14,105417,18,1
3,86816,3,1
5,18565,20,1
5,96179,21,1
5,28648,15,1
3,46971,15,1
11,23658,4,1
14,26253,9,1
10,93664,19,1
14,108850,24,1
4,142924,17,1
9,138623,11,1
13,76947,9,1
10,66001,10,1
9,127775,18,1
2,38243,20,1
8,80939,13,1
8,62828,8,1
7,143311,7,1
8,11710,17,1
14,42991,21,1
3,143043,23,1
13,90445,15,1
6,85257,20,1
1,42711,15,1
7,11530,1,1
15,16116,14,1
15,70794,5,1
1,136354,11,1
9,137970,16,1
1,9135,2,0
1,142701,8,1
15,114472,11,1
7,130147,18,1
2,94087,3,1
14,38380,1,1
5,134951,11,1
8,22071,16,1
8,25074,18,1
3,72843,16,1
7,44901,23,1
3,16205,10,1
6,129661,18,1
6,10906,6,0
3,138663,19,1
7,130576,4,1
3,67987,13,1
8,85685,24,1
10,115454,14,1
4,110487,3,1
15,59400,10,1
15,36852,6,1
13,57756,1,1
1,120357,23,1
4,124052,24,1
14,61481,14,1
7,6283,8,1
11,38691,19,1
4,137197,14,1
13,31170,10,1
6,13438,17,1
9,25095,9,1
1,144076,6,1
13,14752,11,1
5,60426,7,0
11,31819,17,1
7,97051,1,1
1,37994,22,1
14,102756,5,1
4,145659,9,1
6,100665,18,1
2,136717,24,1
10,86835,21,1
5,127232,2,1
11,48732,11,1
10,51305,6,1
1,14346,8,0
6,5587,4,0
6,17763,18,1
13,74615,11,1
15,125987,5,1
15,96353,15,1
4,100648,18,1
13,30556,2,1
8,64042,22,1
4,23099,11,1
8,114089,13,1
15,149302,4,1
13,38866,22,1
8,110400,7,1
5,89246,11,1
13,81975,22,1
15,86557,24,1
4,142488,4,1
12,77516,15,1
13,37602,1,1
2,134295,23,1
11,92969,3,1
15,137161,14,1
3,146559,6,1
3,5155,18,1
4,128950,1,1
4,72494,6,1
10,81229,6,1
11,109648,21,1
11,43547,16,1
5,33795,5,0
4,26447,17,1
11,92960,10,1
14,68278,21,1
10,60077,18,1
8,117782,7,1
6,107932,3,1
6,145600,13,1
8,114869,15,1
7,144251,20,1
15,53781,19,1
10,58798,3,1
14,103696,4,1
11,55939,5,1
12,34516,1,1
10,146521,4,1
13,55290,12,1
8,131688,24,1
14,91661,10,1
2,77954,23,1
9,27746,21,1
1,72990,20,1
15,63810,24,1
8,123362,13,1
12,138669,23,1
11,7659,14,1
12,91516,23,1
12,79567,5,1
4,20037,4,0
4,131498,14,1
